model,Year,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,city,Price,Cre_date,Pic_num,Repub_date,Description,Color,Km,Test
סוזוקי איגניס,2018,1,אוטומטית,1200,בנזין,,,קריות,קרית,72000.0,2022-10-13,1,2022-10-13,רכב שמור מאד. חדש לגמרי ,None,17600,
סוזוקי בלנו,2017,2,ידנית,1242,בנזין,,,ראש,ראש,42000.0,2022-10-12,1,2022-10-12,"סוזוקי בלנו ידנית 2017 רכב שמור מאוד, טיפולים שוטפים בזמן, מצב מכני מעולה, מוכר את הרכב כי לאשתי אין רישיון ידני, גמיש במחיר לרציניים בעת המכירה, נקי מתאונות, לא בשבת, לידור 0527272219",None,102000,
סוזוקי SX4,2009,1,אוטומטית,1586,בנזין,,,רמת,רמת,17000.0,2022-10-05,1,2022-10-05,"דגם GLA יד ראשונה, עם 178000 קמ, החלפה לטובת רכב גדול יותר עקב הרחבת המשפחה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת רברס",None,178000,
סוזוקי קרוסאובר,2017,1,אוטומטית,1400,בנזין,,,רעננה,רעננה,76000.0,2022-10-02,1,2022-10-02,"שנת יצור 2017,יד ראשונה מפרטי,53,000קמ,1400 טורבו=140 כס,טסט יוני 2023,הרכב נקי מתאונות,שמור לגילו וטופל במוסך מורשה יבואן,מחיר מבוקש 76 אשח.",None,53000,
סוזוקי בלנו,2019,2,אוטומטית,1200,בנזין,,,פתח,פתח,73000.0,2022-10-01,1,2022-10-01,"סוזוקי בלנו שנת 2019 טסט עד אוגוסט 2023 אצלי מקמ 5000ֶרכב חסכוני מאוד אמוביליזר קודן מצלמת רברס רכב שמור ומטופלר רק בסוזוקי פתח תקווה",None,52000,
סוזוקי SX4,2010,3,אוטומטית,1600,בנזין,,,רמת,רמת,18000.0,2022-09-30,1,2022-09-30,"טסט לשנה, צמיגים חדשים (הוחלפו בטסט האחרון). טופל באופן מלא לפני הטסט! 18,000 ש""ח. מחירון 29,000! בהזדמנות!",None,250880,
סוזוקי קרוסאובר,2015,1,אוטומטית,1600,בנזין,,,"ראשל""צ",ראשון,56000.0,2022-09-29,1,2022-09-29,"מצב מכאני מעולה, בבעלות פרטית , מטופל בחברה.  &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חיישן רוורס, מובילי, נעילה מרכזית , מפתח חכם.",None,116000,
סוזוקי איגניס,2017,1,אוטומטית,1242,בנזין,,,"ראשל""צ",ראשון,62000.0,2022-09-27,1,2022-09-27,"למכירה יד ראשונה. שמורה מצויין. ללא תאונות ומכות כחדשה. 63,000 ק""מ. 4 צמיגים חדשים. טסט עד 7/2023. טלפון : ‎0535266848 זהבה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; איו",None,6300,
סוזוקי קרוסאובר,2022,1,אוטומטית,1400,בנזין,,,קריות,קרית,129000.0,2022-09-21,1,2022-09-21,"הרכב עלה על הכביש ינואר 22.ללא פגיעה ללא שריטות, פרטי בלבד,לא לסוחרים!!!!!! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מאובזר מאד,כולל מצלמה ששוויה 2400שח ומופעלת מהמסך מולטימידיה,",None,21890,
סוזוקי סוויפט,2012,1,ידנית,1242,בנזין,,,None,Rehovot,28000.0,2022-09-17,1,2022-09-17,"זריזה,אמינה וחסכונית מאוד. מטופלת במורשה, קילומטראז' נמוך וללא תאונות. טסט לשנה.  לא בשבת",None,105000,
סוזוקי סדן,2007,6,אוטומטית,1300,בנזין,,,None,ריחאניה,43000.0,2022-09-17,1,2022-09-17,None,None,280,
סוזוקי סוויפט,2007,1,אוטומטית,1500,בנזין,,,פתח,פתח,17000.0,2022-09-17,1,2022-09-17,None,None,206000,
סוזוקי סוויפט החדשה,2007,1,אוטומטית,1500,בנזין,,,פתח,פתח,17000.0,2022-09-17,1,2022-09-17,None,None,206000,
סוזוקי SX4,2013,1,אוטומטית,1600,בנזין,,,עמק,תמרת,36000.0,2022-09-16,1,2022-09-16,"סוזוקי SX4 2013 GLA יד ראשונה 160000 ק""מ. מטופל לאורך כל השנים במוסך מוסדר שביט.",None,160000,
סוזוקי אלטו,2010,2,ידנית,996,בנזין,,,גליל,קרית,12000.0,2022-09-15,1,2022-09-15,"רכב אמין וחסכוני, ללא תאונות",None,204000,
סוזוקי SX4,2008,2,אוטומטית,1600,בנזין,,,מודיעין,שוהם,20000.0,2022-09-12,1,2022-09-12,רכב שמור חסכוני ואמין,None,184000,
סוזוקי קרוסאובר,2015,1,אוטומטית,1568,בנזין,,,מושבים,עולש,48000.0,2022-09-11,1,2022-09-11,"שמור מאד , נהגת אחת , לא צורך מוסך ",None,214000,
